ID,Fi,Lambda,E,N,epoch_label,risk_pk
D10112119153,-33.48103896,149.01310147,687043.6,6293569.8,D20180201,0.08976286
D10112119155,-33.48101766,149.01301092,687035.2999999999,6293572.3,D20180201,0.031727016
D10112119156,-33.481007,149.0129656,687031.1,6293573.600000001,D20180201,0.037715208
D10112219136,-33.48134761,149.01385338,687112.8,6293534.2,D20180201,0.07624437
D10112219148,-33.48121713,149.01329875,687061.6,6293549.7,D20180201,0.11808473
D10112219152,-33.48117472,149.01311845,687044.9,6293554.7,D20180201,0.14376472
D10112219153,-33.48116407,149.01307316,687040.7000000001,6293556.0,D20180201,0.115849875
D10112219154,-33.48115342,149.01302788,687036.5,6293557.2,D20180201,0.019024745
D10112219157,-33.48112119,149.01289086,687023.9,6293561.1,D20180201,0.061973434
D10112219158,-33.48111018,149.01284407,687019.5,6293562.4,D20180201,0.05088901
D10112219177,-33.48090579,149.01197523,686939.2,6293586.6,D20180201,0.19682053
D10112219180,-33.48087483,149.01184361,686927.1,6293590.3,D20180201,0.069668785
D10112319135,-33.48148558,149.01387967,687115.0,6293518.9,D20180201,0.09367515
D10112319139,-33.48144,149.01368597,687097.1,6293524.3,D20180201,0.026992813
D10112319141,-33.48141779,149.01359159,687088.4,6293526.9,D20180201,0.0983509
D10112319142,-33.48140677,149.01354473,687084.0,6293528.2,D20180201,0.01074383
D10112319145,-33.48137441,149.01340718,687071.2999999999,6293532.1,D20180201,0.011900748
D10112319148,-33.48134245,149.01327132,687058.8,6293535.800000001,D20180201,0.057237286
D10112319149,-33.4813318,149.01322604,687054.6,6293537.1,D20180201,0.024649013
D10112319152,-33.48129983,149.01309013,687041.9999999999,6293540.9,D20180201,0.12113628
D10112319153,-33.48128918,149.01304483,687037.8,6293542.2,D20180201,0.061796404
D10112319157,-33.48124651,149.01286346,687021.1,6293547.2,D20180201,0.06894944
D10112319168,-33.48112751,149.01235761,686974.3,6293561.3,D20180201,0.091363266
D10112319169,-33.48111676,149.01231193,686970.1,6293562.6,D20180201,0.009339182
D10112319170,-33.48110601,149.01226622,686965.9,6293563.9,D20180201,0.015275309
D10112319171,-33.48109508,149.01221975,686961.6,6293565.2,D20180201,0.047796614
D10112319178,-33.48102185,149.01190838,686932.8,6293573.9,D20180201,0.054237194
D10112319182,-33.48098087,149.01173412,686916.7000000001,6293578.7,D20180201,0.02028446
D10112319185,-33.48094888,149.01159812,686904.1,6293582.5,D20180201,0.14113972
D10112319189,-33.48090885,149.01142787,686888.4,6293587.299999999,D20180201,0.03262701
D10112319197,-33.48082889,149.01108774,686856.9,6293596.7,D20180201,0.056788903
D10112419129,-33.48168128,149.01415119,687139.8,6293496.7,D20180201,0.047575183
