ID,Fi,Lambda,E,N,epoch_label,risk_pk
D10112119153,-33.48103896,149.01310147,687043.6,6293569.8,D20180108,0.057069946
D10112119155,-33.48101766,149.01301092,687035.2999999999,6293572.3,D20180108,0.018399986
D10112119156,-33.481007,149.0129656,687031.1,6293573.600000001,D20180108,0.014282123
D10112219136,-33.48134761,149.01385338,687112.8,6293534.2,D20180108,0.066410385
D10112219148,-33.48121713,149.01329875,687061.6,6293549.7,D20180108,0.030467428
D10112219152,-33.48117472,149.01311845,687044.9,6293554.7,D20180108,0.036331646
D10112219153,-33.48116407,149.01307316,687040.7000000001,6293556.0,D20180108,0.050409492
D10112219154,-33.48115342,149.01302788,687036.5,6293557.2,D20180108,0.032243136
D10112219157,-33.48112119,149.01289086,687023.9,6293561.1,D20180108,0.04500152
D10112219158,-33.48111018,149.01284407,687019.5,6293562.4,D20180108,0.014971825
D10112219177,-33.48090579,149.01197523,686939.2,6293586.6,D20180108,0.050460692
D10112219180,-33.48087483,149.01184361,686927.1,6293590.3,D20180108,0.120616786
D10112319135,-33.48148558,149.01387967,687115.0,6293518.9,D20180108,0.05598078
D10112319139,-33.48144,149.01368597,687097.1,6293524.3,D20180108,0.02668883
D10112319141,-33.48141779,149.01359159,687088.4,6293526.9,D20180108,0.08678405
D10112319142,-33.48140677,149.01354473,687084.0,6293528.2,D20180108,0.006402887
D10112319145,-33.48137441,149.01340718,687071.2999999999,6293532.1,D20180108,0.010564122
D10112319148,-33.48134245,149.01327132,687058.8,6293535.800000001,D20180108,0.008190922
D10112319149,-33.4813318,149.01322604,687054.6,6293537.1,D20180108,0.00601725
D10112319152,-33.48129983,149.01309013,687041.9999999999,6293540.9,D20180108,0.011835373
D10112319153,-33.48128918,149.01304483,687037.8,6293542.2,D20180108,0.02308871
D10112319157,-33.48124651,149.01286346,687021.1,6293547.2,D20180108,0.00876432
D10112319168,-33.48112751,149.01235761,686974.3,6293561.3,D20180108,0.08129817
D10112319169,-33.48111676,149.01231193,686970.1,6293562.6,D20180108,0.02276859
D10112319170,-33.48110601,149.01226622,686965.9,6293563.9,D20180108,0.0033021963
