ID,Fi,Lambda,E,N,epoch_label,risk_pk
D10121019716,-33.48665237,148.98709934,684615.4,6292993.9,D20170805,0.14932048
D10121019717,-33.48664301,148.98705951,684611.7,6292995.0,D20170805,0.21998763
D10121019720,-33.48661469,148.98693909,684600.6,6292998.3,D20170805,0.12468973
D10121119002,-33.49366612,149.01637538,687320.7000000001,6292163.6,D20170805,0.12516542
D10121119003,-33.4936565,149.01633442,687316.9,6292164.7,D20170805,0.109216884
D10121119005,-33.49363707,149.01625172,687309.2,6292167.0,D20170805,0.14115511
D10121119007,-33.4936171,149.01616675,687301.4,6292169.4,D20170805,0.095415816
D10121119008,-33.49360712,149.01612427,687297.5,6292170.600000001,D20170805,0.14254004
D10121119010,-33.49358716,149.01603935,687289.6,6292173.0,D20170805,0.110851206
D10121119469,-33.48906576,148.9968055,685512.1,6292708.9,D20170805,0.039610513
D10121119494,-33.48885376,148.99590263,685428.7000000001,6292734.0,D20170805,0.04005219
D10121119501,-33.48879123,148.99563646,685404.1,6292741.5,D20170805,0.058542375
D10121119536,-33.48847648,148.99429692,685280.3,6292778.7,D20170805,0.0793654
D10121119539,-33.48844999,148.99418418,685269.9,6292781.9,D20170805,0.32051006
D10121119540,-33.48844112,148.9941464,685266.4,6292782.9,D20170805,0.16398127
D10121119612,-33.48777919,148.9913302,685006.1,6292861.4,D20170805,0.034405008
D10121119632,-33.48758258,148.99049433,684928.9,6292884.7,D20170805,0.24956125
D10121119694,-33.48697396,148.98790703,684689.7,6292956.8,D20170805,0.5978866
D10121119695,-33.48696498,148.98786881,684686.2,6292957.8,D20170805,0.8899628
D10121119696,-33.48695603,148.98783071,684682.7,6292958.9,D20170805,0.12494513
D10121119703,-33.48689384,148.98756608,684658.2,6292966.3,D20170805,0.238074
D10121119704,-33.48688481,148.98752768,684654.7,6292967.3,D20170805,0.24838664
D10121119707,-33.48685755,148.9874117,684644.0,6292970.600000001,D20170805,0.14901857
D10121119708,-33.48684854,148.98737338,684640.4,6292971.6,D20170805,0.27698073
D10121119710,-33.48682922,148.98729124,684632.8,6292973.9,D20170805,0.16506192
D10121119720,-33.4867351,148.986891,684595.8,6292985.1,D20170805,0.20165585
D10121219004,-33.49376418,149.01623224,687307.1,6292153.0,D20170805,0.12518631
D10121219007,-33.49373424,149.01610485,687295.4,6292156.5,D20170805,0.10008025
D10121219008,-33.49372426,149.01606238,687291.5,6292157.7,D20170805,0.062925085
D10121219009,-33.49371429,149.01601994,687287.5,6292158.9,D20170805,0.041079126
D10121219010,-33.4937044,149.01597786,687283.6,6292160.1,D20170805,0.10868624
D10121219470,-33.48918853,148.99676691,685508.3,6292695.4,D20170805,0.30095485
D10121219487,-33.48904476,148.99615458,685451.7,6292712.4,D20170805,0.020682389
D10121219494,-33.48898293,148.99589137,685427.4,6292719.7,D20170805,0.00094344217
D10121219509,-33.48884612,148.99530919,685373.6,6292736.0,D20170805,0.18108335
D10121219522,-33.48872977,148.99481398,685327.8,6292749.7,D20170805,0.17465013
D10121219531,-33.48864643,148.99445943,685295.0,6292759.6,D20170805,0.227129
D10121219536,-33.48859863,148.99425611,685276.3,6292765.300000001,D20170805,0.08662227
D10121219539,-33.48857278,148.99414606,685266.1,6292768.3,D20170805,0.16935395
D10121219540,-33.48856407,148.99410897,685262.7,6292769.4,D20170805,0.17895088
D10121219542,-33.48854657,148.99403447,685255.8,6292771.4,D20170805,0.10375883
D10121219590,-33.48812051,148.99222107,685088.2,6292821.9,D20170805,0.012276259
D10121219591,-33.4881107,148.99217936,685084.3,6292823.1,D20170805,0.052744374
D10121219703,-33.4870146,148.98751946,684653.7,6292952.9,D20170805,0.21632682
D10121219704,-33.48700575,148.98748178,684650.2,6292954.0,D20170805,0.23351307
D10121319009,-33.49383183,149.01595972,687281.7,6292146.0,D20170805,0.082960844
D10121319010,-33.49382245,149.01591977,687278.0000000001,6292147.1,D20170805,0.12481546
D10121319481,-33.48922701,148.9963693,685471.2999999999,6292691.8,D20170805,0.009242758
D10121319516,-33.48890811,148.99501226,685345.9,6292729.6,D20170805,0.25242674
D10121319517,-33.48889915,148.99497409,685342.3,6292730.7,D20170805,0.036875132
D10121319518,-33.48889018,148.99493592,685338.8,6292731.7,D20170805,0.0020415734
D10121319520,-33.48887222,148.99485948,685331.7,6292733.9,D20170805,0.023947453
D10121319531,-33.48876761,148.99441454,685290.6,6292746.3,D20170805,0.5647184
D10121319535,-33.48872956,148.9942527,685275.7,6292750.8,D20170805,0.26716608
D10121319541,-33.48867862,148.99403579,685255.6,6292756.8,D20170805,0.15112235
D10121319542,-33.48867003,148.9939992,685252.2,6292757.799999999,D20170805,0.1806488
D10121319585,-33.48829152,148.99238804,685103.2999999999,6292802.699999999,D20170805,0.12706472
D10121319590,-33.48824309,148.99218211,685084.3,6292808.4,D20170805,0.012764037
D10121319591,-33.48823325,148.99214027,685080.4,6292809.6,D20170805,0.0062648654
D10121319602,-33.48812411,148.99167629,685037.5,6292822.5,D20170805,0.15254027
D10121319639,-33.48777043,148.99017223,684898.5,6292864.4,D20170805,0.11746082
D10121319648,-33.48769042,148.98983175,684867.1,6292873.9,D20170805,0.06449824
D10121419010,-33.4939411,149.01586424,687272.6,6292134.0,D20170805,0.13963023
D10121419472,-33.48943702,148.99670216,685501.8,6292667.9,D20170805,0.01991937
D10121419476,-33.48940385,148.99656083,685488.7000000001,6292671.9,D20170805,0.274865
D10121419481,-33.48935724,148.99636255,685470.4,6292677.4,D20170805,0.108324684
D10121419482,-33.48934788,148.99632272,685466.7,6292678.5,D20170805,0.075149454
D10121419516,-33.48903272,148.99498179,685342.8,6292715.8,D20170805,0.12486467
D10121419517,-33.48902375,148.99494362,685339.2,6292716.9,D20170805,0.014155321
D10121419518,-33.48901478,148.99490546,685335.7,6292718.0,D20170805,0.0032024512
D10121419531,-33.48889062,148.99437735,685286.9,6292732.7,D20170805,0.2554719
D10121419534,-33.48886225,148.99425668,685275.7,6292736.0,D20170805,0.24340594
D10121419535,-33.48885356,148.9942197,685272.3,6292737.1,D20170805,0.23502694
D10121419573,-33.48852508,148.99282119,685143.1,6292776.0,D20170805,0.19252981
D10121419602,-33.48824863,148.99164547,685034.4,6292808.7,D20170805,0.18552154
D10121419624,-33.48802962,148.99071446,684948.4,6292834.699999999,D20170805,0.15310457
D10121419625,-33.48802041,148.99067528,684944.8,6292835.8,D20170805,0.20054154
D10121419626,-33.48801133,148.99063666,684941.2,6292836.9,D20170805,0.276612
D10121419628,-33.48799326,148.99055976,684934.1,6292839.0,D20170805,0.11062195
D10121419635,-33.48793087,148.99029426,684909.5,6292846.4,D20170805,0.09795462
D10121419639,-33.48789483,148.99014093,684895.4,6292850.7,D20170805,0.124447264
D10121419648,-33.48781012,148.98978065,684862.1,6292860.7,D20170805,0.045772336
D10121519011,-33.49405125,149.01577244,687263.8,6292122.0,D20170805,0.21167621
D10121519470,-33.48958863,148.99678624,685509.2,6292650.999999999,D20170805,0.0021112345
D10121519474,-33.48955252,148.99663254,685495.0,6292655.200000001,D20170805,0.16800551
