epoch_label,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_near,gap_core_far
D20170630,0.5714617967605591,0.2662314772605896,0.08203743398189545,0.3052303194999695,0.48942436277866364
D20170712,0.6267029643058777,0.3004375696182251,0.09882849454879761,0.3262653946876526,0.5278744697570801
D20170724,0.6357123851776123,0.29174602031707764,0.10189998894929886,0.34396636486053467,0.5338123962283134
D20170805,0.6830360889434814,0.31679990887641907,0.11287810653448105,0.3662361800670624,0.5701579824090004
D20170817,0.5978115200996399,0.24540530145168304,0.10716982185840607,0.35240621864795685,0.4906416982412338
D20170829,0.5757649540901184,0.3390573561191559,0.1345566213130951,0.23670759797096252,0.4412083327770233
D20170910,0.43083271384239197,0.2780119478702545,0.12112041562795639,0.15282076597213745,0.3097122982144356
D20170922,0.4519827365875244,0.2944573760032654,0.14336922764778137,0.15752536058425903,0.30861350893974304
D20171004,0.41750290989875793,0.315641313791275,0.14333520829677582,0.10186159610748291,0.2741677016019821
D20171016,0.23624315857887268,0.22715401649475098,0.11754769831895828,0.009089142084121704,0.1186954602599144
D20171028,0.1799861192703247,0.1961570680141449,0.11531919240951538,-0.01617094874382019,0.06466692686080933
D20171109,0.11697772145271301,0.14441929757595062,0.09271904826164246,-0.02744157612323761,0.024258673191070557
D20171121,0.11580664664506912,0.1407090276479721,0.1009499579668045,-0.024902381002902985,0.014856688678264618
D20171203,0.11443839222192764,0.1313672512769699,0.09187828004360199,-0.016928859055042267,0.022560112178325653
D20171215,0.11756236106157303,0.15658816695213318,0.08430079370737076,-0.03902580589056015,0.03326156735420227
D20171227,0.12850061058998108,0.14569520950317383,0.07425428181886673,-0.01719459891319275,0.05424632877111435
D20180108,0.11909619718790054,0.12999865412712097,0.07171598076820374,-0.010902456939220428,0.04738021641969681
D20180120,0.13244107365608215,0.16027328372001648,0.07986294478178024,-0.027832210063934326,0.05257812887430191
D20180201,0.1525026261806488,0.20404301583766937,0.09219027310609818,-0.05154038965702057,0.06031235307455063
D20180213,0.19778864085674286,0.2112235277891159,0.09297085553407669,-0.013434886932373047,0.10481778532266617
D20180225,0.20958471298217773,0.215106800198555,0.09561425447463989,-0.005522087216377258,0.11397045850753784
