epoch_label,auc,auc_ci_low,auc_ci_high,p_value
D20170630,0.9595215012827423,0.9437036309285589,0.9734734356541166,0.004975124378109453
D20170712,0.956882813662613,0.9458276444307028,0.9690975919507264,0.004975124378109453
D20170724,0.952527221248587,0.9367442909905602,0.9647918571997547,0.004975124378109453
D20170805,0.9518385329301376,0.9366191832927103,0.9639101314720447,0.004975124378109453
D20170817,0.9363117417505494,0.9188160966205631,0.9524519350937748,0.004975124378109453
D20170829,0.9061910190227271,0.8853124814884914,0.9250573465465171,0.004975124378109453
D20170910,0.8433282235549706,0.8126034055878147,0.8695646839667098,0.004975124378109453
D20170922,0.8401467724838676,0.810763764977165,0.8631856843370604,0.004975124378109453
D20171004,0.8181805047266655,0.7936123315663421,0.8407375996370661,0.004975124378109453
D20171016,0.7784114031374328,0.7568539778492794,0.8018730636661047,0.004975124378109453
D20171028,0.7005823991493013,0.6731270567339511,0.7281059963562128,0.004975124378109453
D20171109,0.621021079160147,0.592129641000746,0.653042184326706,0.004975124378109453
D20171121,0.6315498232286383,0.5999035956754226,0.655070780784729,0.004975124378109453
D20171203,0.662482523931919,0.6392378243035699,0.6887560796008112,0.004975124378109453
D20171215,0.7104645949188286,0.6874097842382842,0.7337447523635735,0.004975124378109453
D20171227,0.738272432577173,0.7134708879889387,0.7639262169194827,0.004975124378109453
D20180108,0.7181087944535065,0.6924938150491401,0.7440540793706062,0.004975124378109453
D20180120,0.7446825315412027,0.7230715041482635,0.7659569805785078,0.004975124378109453
D20180201,0.7289980162886825,0.7025050315183266,0.7520076588883414,0.004975124378109453
D20180213,0.7359400426986757,0.7069543433356884,0.7625964223845857,0.004975124378109453
D20180225,0.7057726047492524,0.6718188740090474,0.7412012482114572,0.004975124378109453
