epoch_label,gap_core_near_ci_low,gap_core_near_ci_high,gap_core_far_ci_low,gap_core_far_ci_high
D20170630,0.2691466063261032,0.3390856176614761,0.45389636009931567,0.5249641671776771
D20170712,0.28667627424001696,0.3601504497230053,0.49507513642311096,0.5639024376869202
D20170724,0.31043758764863016,0.3849191509187221,0.49862179309129717,0.5695112705230713
D20170805,0.32714736759662627,0.4058358713984489,0.5366757318377495,0.6074793010950088
D20170817,0.3172054275870323,0.38950890600681304,0.45069488063454627,0.5243729680776595
D20170829,0.19501184672117233,0.2722551114857196,0.4030616648495197,0.4746479496359825
D20170910,0.11472941115498543,0.18598608523607246,0.2730385988950729,0.3466970205307007
D20170922,0.11963852345943451,0.19429921358823776,0.2720326505601406,0.33814354017376896
D20171004,0.06565943732857704,0.14017437323927878,0.24258672520518304,0.30437528192996977
D20171016,-0.01429724581539631,0.03281294293701647,0.10260412693023682,0.13982911705970763
D20171028,-0.036087862029671666,0.004013279080390927,0.05009222347289324,0.0812866313382983
D20171109,-0.041462901048362255,-0.01094738766551018,0.011684313416481018,0.036500368639826766
D20171121,-0.036171804554760455,-0.010520465858280665,0.005467773415148258,0.027023167535662643
D20171203,-0.028350466489791868,-0.0037476500496268317,0.012985590286552906,0.03278301712125539
D20171215,-0.05170703232288361,-0.022568190470337895,0.020319368131458758,0.04634619932621717
D20171227,-0.033069778233766556,-0.0013534091413021133,0.040793650597333905,0.06878008339554069
D20180108,-0.025718999840319157,0.0026720996946096396,0.03425627909600735,0.06098624579608439
D20180120,-0.04153804052621126,-0.011903677508234994,0.039949753880500795,0.0666300905868411
D20180201,-0.06712748631834983,-0.03502816520631314,0.04413848835974932,0.07477704379707573
D20180213,-0.035930154100060466,0.012568689137697145,0.08408175688236952,0.12545722946524618
D20180225,-0.03628322184085846,0.0202269546687603,0.09175723548978568,0.13822492323815821
