k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20240518,2024-05-18,0.5275866622647738,0.48255628920435784,0.5757386926378343,,0
12,D20240530,2024-05-30,0.517946517002311,0.46284780455595903,0.5659565863321228,,0
13,D20240611,2024-06-11,0.5407263123142951,0.49249488279960385,0.5925085836909871,,0
14,D20240623,2024-06-23,0.5078111587982833,0.45206619346318916,0.553808847804556,,0
15,D20240705,2024-07-05,0.4537999339716078,0.41041812479366124,0.49982898646417956,,0
16,D20240717,2024-07-17,0.4567051832287884,0.41201535160118846,0.49668917134367774,,0
17,D20240729,2024-07-29,0.47205018157807854,0.4260247606470783,0.5180518322878838,,0
18,D20240822,2024-08-22,0.5122614724331462,0.46212974579069005,0.5598062066688676,,0
19,D20240903,2024-09-03,0.5587850775833608,0.5115719709475074,0.605836414658303,,0
20,D20240915,2024-09-15,0.570320237702212,0.5226995708154506,0.6192669197755033,,0
21,D20240927,2024-09-27,0.5910927698910531,0.5435369758996369,0.6398415318586992,,0
22,D20241009,2024-10-09,0.6069725982172334,0.5585069329811818,0.6569077253218885,,0
23,D20241021,2024-10-21,0.6275470452294487,0.577920270716408,0.6727801254539452,,0
24,D20241102,2024-11-02,0.6596302410036317,0.616546219874546,0.7048250247606471,,0
25,D20241114,2024-11-14,0.652664245625619,0.6045612413337735,0.7023821393199076,,0
26,D20241126,2024-11-26,0.6469792010564542,0.5978839551006933,0.6905415978870915,,0
27,D20241208,2024-12-08,0.5999867943215582,0.5441512050181578,0.6410625619016177,,0
28,D20241220,2024-12-20,0.6439088808187521,0.59735440739518,0.6827025420931,0.004975124378109453,1
29,D20250101,2025-01-01,0.6116408055463849,0.5672944866292506,0.6610384615384615,0.004975124378109453,1
30,D20250113,2025-01-13,0.6137867282931659,0.566033839551007,0.6604019478375701,0.004975124378109453,1
31,D20250125,2025-01-25,0.6516870254209309,0.6031691977550346,0.6974044239022781,0.004975124378109453,1
32,D20250206,2025-02-06,0.6076130736216573,0.5554674810168372,0.6492695609111917,0.004975124378109453,1
