k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,perm_p_value,is_near_event_window
11,D20170630,2017-06-30,0.4801560582400948,0.44636978353365897,0.5145110167184791,,0
12,D20170712,2017-07-12,0.48390709090822265,0.44552944238308767,0.5221077532484276,,0
13,D20170724,2017-07-24,0.4659494100062557,0.42684268584444796,0.5013415134975097,,0
14,D20170805,2017-08-05,0.45780028556556784,0.42047494377032507,0.5012076247916756,,0
15,D20170817,2017-08-17,0.4164959481206634,0.3787053087498627,0.4522971792043322,,0
16,D20170829,2017-08-29,0.40694526023236827,0.3716067599768873,0.4498467114593929,,0
17,D20170910,2017-09-10,0.3882545640349746,0.34704453963296705,0.42737859881857987,,0
18,D20170922,2017-09-22,0.3734056320406478,0.336820110405952,0.4050108877841927,,0
19,D20171004,2017-10-04,0.3715886136698996,0.33628485404161235,0.40858785916555634,,0
20,D20171016,2017-10-16,0.36399581679870496,0.3262055355787001,0.39903776819525427,,0
21,D20171028,2017-10-28,0.3673170685118595,0.3311648496482959,0.4038926813078712,,0
22,D20171109,2017-11-09,0.3652660582878482,0.3322515985463853,0.4050414499854352,,0
23,D20171121,2017-11-21,0.34439302990797915,0.3070364693017014,0.38218271420999095,,0
24,D20171203,2017-12-03,0.3040246598761276,0.2705135643644733,0.33624903896203123,,0
25,D20171215,2017-12-15,0.2993949639222765,0.25917176434632705,0.332786078917334,,0
26,D20171227,2017-12-27,0.35597801431648113,0.32194389925934414,0.38837215687959925,1.0,1
27,D20180108,2018-01-08,0.34430707371698444,0.3072320196362143,0.38037655974671575,1.0,1
28,D20180120,2018-01-20,0.34274553624724824,0.3110398788972776,0.38273187876356796,1.0,1
29,D20180201,2018-02-01,0.34015252448557604,0.30792277313773525,0.3718364540206008,1.0,1
30,D20180213,2018-02-13,0.3351240873123887,0.299086954237879,0.36719553600848104,1.0,1
31,D20180225,2018-02-25,0.9218944744495223,0.8975652908900763,0.9388630622370576,,0
