ID,Fi,Lambda,E,N,H,Velocity_m,Sigma_ts_m,aceler,def0,D20240107,D20240119,D20240131,D20240212,D20240224,D20240307,D20240319,D20240331,D20240412,D20240424,D20240506,D20240518,D20240530,D20240611,D20240623,D20240705,D20240717,D20240729,D20240822,D20240903,D20240915,D20240927,D20241009,D20241021,D20241102,D20241114,D20241126,D20241208,D20241220,D20250101,D20250113,D20250125,D20250206,D20250218
D30000400400,-12.642586919999999,28.027944349999999,611634.500000000000000,8602169.500000000000000,1336.710000000000036,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,1.140000000000000,16.520000000000000,3.140000000000000,33.340000000000003,19.770000000000000,19.910000000000000,19.980000000000000,18.280000000000001,16.579999999999998,19.539999999999999,12.010000000000000,10.949999999999999,11.650000000000000,13.060000000000000,11.170000000000000,13.740000000000000,11.330000000000000,11.900000000000000,15.690000000000000,13.470000000000001,13.470000000000001,11.650000000000000,11.680000000000000,16.960000000000001,12.250000000000000,13.900000000000000,5.890000000000000,31.399999999999999,29.870000000000001,26.100000000000001,29.859999999999999,23.730000000000000,20.010000000000002
D30000400403,-12.642566120000000,28.027855020000001,611624.800000000046566,8602171.800000000745058,1336.519999999999982,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,-12.890000000000001,10.210000000000001,2.570000000000000,14.710000000000001,8.020000000000000,17.390000000000001,17.460000000000001,15.760000000000000,14.070000000000000,20.190000000000001,17.960000000000001,17.039999999999999,12.490000000000000,11.060000000000000,8.840000000000000,11.740000000000000,7.730000000000000,12.470000000000001,12.680000000000000,11.980000000000000,12.630000000000001,12.410000000000000,10.630000000000001,14.420000000000000,9.330000000000000,9.980000000000000,4.450000000000000,11.250000000000000,6.940000000000000,12.820000000000000,6.180000000000000,11.279999999999999,21.949999999999999
D30000500290,-12.643513029999999,28.031361010000001,612005.199999999953434,8602065.599999999627471,1324.829999999999927,0.000000000000000,0.000000000000000,IV,0.000000000000000,0.000000000000000,4.170000000000000,13.080000000000000,1.810000000000000,11.750000000000000,1.410000000000000,8.529999999999999,8.600000000000000,6.910000000000000,5.210000000000000,13.310000000000000,14.500000000000000,11.980000000000000,12.090000000000000,9.600000000000000,9.699999999999999,10.140000000000001,5.750000000000000,5.970000000000000,4.780000000000000,7.540000000000000,10.350000000000000,11.190000000000000,9.330000000000000,10.980000000000000,5.400000000000000,-2.240000000000000,-4.030000000000000,-1.550000000000000,-4.690000000000000,-7.840000000000000,-3.080000000000000,9.630000000000001,11.320000000000000
D30000500354,-12.643040960000000,28.029334030000001,611785.199999999953434,8602118.699999999254942,1334.009999999999991,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,9.260000000000000,12.590000000000000,3.930000000000000,4.470000000000000,11.160000000000000,3.950000000000000,4.030000000000000,2.330000000000000,0.630000000000000,7.290000000000000,1.660000000000000,1.280000000000000,1.420000000000000,-2.080000000000000,-5.140000000000000,0.250000000000000,-0.910000000000000,-1.750000000000000,-1.290000000000000,-1.890000000000000,-1.860000000000000,-3.810000000000000,-5.160000000000000,-9.060000000000000,-8.310000000000000,-12.180000000000000,-9.090000000000000,-14.690000000000000,-16.600000000000001,-9.170000000000000,-11.090000000000000,-13.270000000000000,-1.960000000000000
D30000500395,-12.642746259999999,28.028068399999999,611647.900000000023283,8602151.800000000745058,1336.490000000000009,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,1.790000000000000,2.740000000000000,-9.180000000000000,-0.410000000000000,-1.650000000000000,-3.060000000000000,-2.990000000000000,-4.690000000000000,-6.380000000000000,1.740000000000000,0.330000000000000,0.330000000000000,-0.910000000000000,-1.890000000000000,-1.070000000000000,-1.750000000000000,-3.300000000000000,-0.020000000000000,2.340000000000000,2.690000000000000,1.740000000000000,-4.030000000000000,1.580000000000000,6.160000000000000,0.690000000000000,4.400000000000001,-5.900000000000000,-1.720000000000000,0.360000000000000,5.150000000000000,7.580000000000000,2.940000000000000,4.800000000000000
D30000500405,-12.642675990000001,28.027766560000000,611615.099999999976717,8602159.699999999254942,1336.339999999999918,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,-2.870000000000000,6.740000000000000,-3.760000000000000,3.950000000000000,6.150000000000000,-1.140000000000000,-1.070000000000000,-2.760000000000000,-4.460000000000000,0.630000000000000,2.260000000000000,-1.750000000000000,-2.560000000000000,0.330000000000000,0.330000000000000,3.560000000000000,-0.210000000000000,-0.290000000000000,-1.050000000000000,-6.270000000000000,-4.050000000000000,-6.650000000000000,-8.199999999999999,4.640000000000000,-2.940000000000000,3.560000000000000,-11.070000000000000,-3.700000000000000,-3.700000000000000,3.260000000000000,-6.580000000000000,0.870000000000000,-14.949999999999999
D30000500415,-12.642608670000000,28.027477240000000,611583.800000000046566,8602167.300000000745058,1334.869999999999891,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.380000000000000,-2.600000000000000,-6.660000000000000,12.350000000000000,9.699999999999999,9.970000000000001,10.039999999999999,8.340000000000000,6.640000000000000,8.970000000000002,7.320000000000000,4.940000000000000,2.470000000000000,-3.240000000000000,-1.970000000000000,0.630000000000000,-0.700000000000000,10.080000000000000,12.490000000000000,8.490000000000000,11.000000000000000,9.160000000000000,4.880000000000000,3.040000000000000,-23.879999999999999,-11.340000000000000,-21.629999999999999,-22.820000000000000,-22.899999999999999,-21.940000000000001,-11.119999999999999,-17.329999999999998,-27.609999999999999
D30000500429,-12.642515169999999,28.027075390000000,611540.099999999976717,8602177.800000000745058,1332.519999999999982,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,-3.030000000000000,4.390000000000000,-2.330000000000000,0.220000000000000,1.190000000000000,4.600000000000000,4.680000000000000,2.980000000000000,1.280000000000000,-4.950000000000000,-2.020000000000000,-14.320000000000000,-12.210000000000001,-9.550000000000001,-3.110000000000000,0.440000000000000,-4.920000000000000,-6.250000000000000,-3.000000000000000,-3.190000000000000,-4.430000000000000,-5.080000000000000,-7.300000000000000,-5.030000000000000,-7.950000000000000,-8.330000000000000,-15.050000000000001,-10.760000000000000,-11.420000000000000,-7.190000000000000,-8.699999999999999,-8.430000000000000,-10.960000000000001
D30000500445,-12.642399290000000,28.026577769999999,611486.199999999953434,8602190.800000000745058,1333.900000000000091,0.000000000000000,0.000000000000000,AC,0.000000000000000,0.000000000000000,0.840000000000000,-1.060000000000000,-16.570000000000000,-17.390000000000001,-11.430000000000000,-15.820000000000000,-15.740000000000000,-17.440000000000001,-19.140000000000001,-15.180000000000000,-14.910000000000000,-17.460000000000001,-17.730000000000000,-16.760000000000002,-14.970000000000001,-17.510000000000002,-22.770000000000000,-10.039999999999999,-6.870000000000000,-11.369999999999999,-13.180000000000000,-17.079999999999998,-15.160000000000000,-19.440000000000001,-23.440000000000001,-26.800000000000001,-27.129999999999999,-30.039999999999999,-33.810000000000002,-16.670000000000002,-18.320000000000000,-21.789999999999999,-30.109999999999999
D30000500451,-12.642355340000000,28.026389070000000,611465.699999999953434,8602195.800000000745058,1334.599999999999909,0.000000000000000,0.000000000000000,"0",0.000000000000000,0.000000000000000,0.510000000000000,0.700000000000000,3.440000000000000,6.230000000000000,5.770000000000000,3.950000000000000,4.030000000000000,2.330000000000000,0.630000000000000,0.470000000000000,0.500000000000000,-5.250000000000000,-7.760000000000000,-7.930000000000000,-9.789999999999999,-12.560000000000000,-18.430000000000000,-19.949999999999999,-23.930000000000000,-27.320000000000000,-24.309999999999999,-26.399999999999999,-27.510000000000002,-22.930000000000000,-26.530000000000001,-29.809999999999999,-35.090000000000003,-25.460000000000001,-23.760000000000002,-23.030000000000001,-24.600000000000001,-24.199999999999999,-25.359999999999999
