task,model_name,input_mode,neg_mode,AUC_near_lastN_mean,lead_time_days,FAR,TPR,core_mean_risk_p,auc_core_vs_near_p
leadtime_cls,tcn,2ch,near_only,0.8748812133193893,48.0,0.0099583828775267,0.8554216867469879,6.8353239131013765e-06,0.00026671069352524057
leadtime_cls,tcn,2ch,near_plus_far,0.8726387118032175,,0.0099583828775267,0.7734939759036145,2.7181180883184552e-05,5.374871460350761e-06
leadtime_cls,tcn,4ch,near_only,0.8995544604100111,36.0,0.0099583828775267,0.8096385542168675,0.00012299960718831215,1.2575634001921188e-05
leadtime_cls,tcn,4ch,near_plus_far,0.8623927338366546,,0.0099583828775267,0.695582329317269,1.2575634001921188e-05,0.0014092503211964313
leadtime_cls,gru,2ch,near_only,0.8805619624753472,48.0,0.0099583828775267,0.8385542168674699,0.0003388897924176959,8.305737147029646e-05
leadtime_cls,gru,2ch,near_plus_far,0.8872918546958344,,0.0099583828775267,0.721285140562249,0.0011657037176187046,0.005133970450832415
leadtime_cls,gru,4ch,near_only,0.9077097927978264,48.0,0.0099583828775267,0.8497991967871485,0.00025396824410384156,0.0002417475530049895
leadtime_cls,gru,4ch,near_plus_far,0.9130051716974916,,0.0099583828775267,0.7807228915662651,0.0007200857440219366,0.003034075117110291
survival_discrete,tcn,2ch,near_only,0.4408153422250238,,0.0099583828775267,0.0008032128514056,0.0,0.0007507018687524791
survival_discrete,tcn,2ch,near_plus_far,0.4799287518683533,,0.0099583828775267,0.0,0.0,0.008951847852124217
survival_discrete,tcn,4ch,near_only,0.4504438682196084,,0.0099583828775267,0.0024096385542168,0.0,0.0016934533188646128
survival_discrete,tcn,4ch,near_plus_far,0.4210907840637222,,0.0099583828775267,0.0,0.0,0.0008842856962099077
survival_discrete,gru,2ch,near_only,0.481543773190264,,0.0099583828775267,0.0056224899598393,0.0,0.17247526361917132
survival_discrete,gru,2ch,near_plus_far,0.4603804038985908,,0.0099583828775267,0.0016064257028112,0.0,0.07174463553427435
survival_discrete,gru,4ch,near_only,0.4966247869002765,,0.0099583828775267,0.0016064257028112,0.0,0.44111256519536357
survival_discrete,gru,4ch,near_plus_far,0.4878620307627656,,0.0099583828775267,0.0,0.0,0.5065327719258956
forecast_anom,tcn,2ch,near_only,0.6830432311887265,,0.0099583828775267,0.0610441767068273,0.0,6.879337319398715e-05
forecast_anom,tcn,2ch,near_plus_far,0.6830432311887265,,0.0099583828775267,0.0610441767068273,0.0,6.879337319398715e-05
forecast_anom,tcn,4ch,near_only,0.6641152003973085,,0.0099583828775267,0.0642570281124498,0.0,2.85143574214608e-05
forecast_anom,tcn,4ch,near_plus_far,0.6641152003973085,,0.0099583828775267,0.0642570281124498,0.0,2.85143574214608e-05
forecast_anom,gru,2ch,near_only,0.6676632809478104,,0.0099583828775267,0.0578313253012048,1.3145040611561853e-13,0.0004946810143988678
forecast_anom,gru,2ch,near_plus_far,0.6676632809478104,,0.0099583828775267,0.0578313253012048,1.3145040611561853e-13,0.0004946810143988678
forecast_anom,gru,4ch,near_only,0.6923050107684005,,0.0099583828775267,0.0570281124497992,2.824407374646398e-13,0.0005207828406423864
forecast_anom,gru,4ch,near_plus_far,0.6923050107684005,,0.0099583828775267,0.0570281124497992,2.824407374646398e-13,0.0005207828406423864
