k,epoch_col,epoch_date,auc,auc_ci_lo,auc_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.37255605946992193,0.33782997441258017,0.4096089598831831,0
12,D20170712,2017-07-12,0.5460181052787719,0.5073405626342762,0.5810623354432238,0
13,D20170724,2017-07-24,0.4847469985470122,0.44188401284716755,0.5231805986387088,0
14,D20170805,2017-08-05,0.46942440586184525,0.43248973228325227,0.5018815458500268,0
15,D20170817,2017-08-17,0.564895389207628,0.5262917962773266,0.6016595883473936,0
16,D20170829,2017-08-29,0.5280117953526542,0.48921691081389956,0.5667360833187649,0
17,D20170910,2017-09-10,0.5744561168285084,0.5409935219954046,0.6042652983922739,0
18,D20170922,2017-09-22,0.6071141503295832,0.5728302946767283,0.6397290324507046,0
19,D20171004,2017-10-04,0.5400113465012466,0.5049531619703421,0.5745352437450967,0
20,D20171016,2017-10-16,0.44004944107886157,0.4016463744412835,0.47543821406263015,0
21,D20171028,2017-10-28,0.47033535268306703,0.44192419034574565,0.5016929572228235,0
22,D20171109,2017-11-09,0.5309575031147494,0.49752921025750685,0.5658707921986542,0
23,D20171121,2017-11-21,0.6372317426559578,0.6064534791040888,0.6662865335908932,0
24,D20171203,2017-12-03,0.7438536975579497,0.7224291397512342,0.7680854007226893,0
25,D20171215,2017-12-15,0.7563278657260051,0.730484348955963,0.7830840450180624,0
26,D20171227,2017-12-27,0.8148971952084632,0.7911063549075785,0.8380949809551191,1
27,D20180108,2018-01-08,0.8045916728431894,0.7802399067429329,0.8284064306151334,1
28,D20180120,2018-01-20,0.7715035703432509,0.7441118111973015,0.7981971596663666,1
29,D20180201,2018-02-01,0.7219695426387165,0.695803540339557,0.7466204426772927,1
30,D20180213,2018-02-13,0.6824807323790906,0.6513799471780876,0.7185993042803184,1
