k,epoch_col,epoch_date,core_mean_risk,near_mean_risk,far_mean_risk,gap_core_minus_near,gap_ci_lo,gap_ci_hi,is_near_event_window
11,D20170630,2017-06-30,0.04768972843885422,0.09440116584300995,0.13709323108196259,-0.04671143740415573,-0.06305272150784731,-0.03101924126967788,0
12,D20170712,2017-07-12,0.03430907428264618,0.06698465347290039,0.09946165978908539,-0.03267557919025421,-0.04871655879542232,-0.015033773798495558,0
13,D20170724,2017-07-24,0.027307050302624702,0.05148744955658913,0.06509612500667572,-0.024180399253964424,-0.037096426077187064,-0.008881526533514286,0
14,D20170805,2017-08-05,0.024233227595686913,0.037871792912483215,0.06637489050626755,-0.013638565316796303,-0.02404091418720782,-0.001498510595411066,0
15,D20170817,2017-08-17,0.04146686568856239,0.06366762518882751,0.11558065563440323,-0.02220075950026512,-0.03873386178165674,-0.005399291124194864,0
16,D20170829,2017-08-29,0.04023903235793114,0.05648071691393852,0.12039433419704437,-0.016241684556007385,-0.032994569092988965,0.0019309583120048015,0
17,D20170910,2017-09-10,0.04043233022093773,0.06407564878463745,0.129377543926239,-0.023643318563699722,-0.04151182984933257,-0.008824508450925351,0
18,D20170922,2017-09-22,0.046435240656137466,0.0717000737786293,0.11918310075998306,-0.025264833122491837,-0.04354882966727018,-0.003982996847480561,0
19,D20171004,2017-10-04,0.040661584585905075,0.07659471035003662,0.13418889045715332,-0.035933125764131546,-0.05516186328604818,-0.01072110263630748,0
20,D20171016,2017-10-16,0.036879636347293854,0.06875094026327133,0.12371446192264557,-0.03187130391597748,-0.04940341729670763,-0.014456181693822148,0
21,D20171028,2017-10-28,0.08040516078472137,0.10488728433847427,0.15575851500034332,-0.0244821235537529,-0.047946215234696866,0.0014559976756572664,0
22,D20171109,2017-11-09,0.0819706916809082,0.14380648732185364,0.13616518676280975,-0.061835795640945435,-0.08577365819364786,-0.037019935250282306,0
23,D20171121,2017-11-21,0.14028440415859222,0.18216216564178467,0.152411088347435,-0.041877761483192444,-0.07192733269184828,-0.013823783770203593,0
24,D20171203,2017-12-03,0.2144157588481903,0.18923738598823547,0.16429303586483002,0.025178372859954834,-0.009050555154681204,0.053011784702539415,0
25,D20171215,2017-12-15,0.3247678875923157,0.21772141754627228,0.20353613793849945,0.1070464700460434,0.07193701900541782,0.13814740777015685,0
26,D20171227,2017-12-27,0.8221591114997864,0.37701743841171265,0.3345225155353546,0.44514167308807373,0.4117391563951969,0.4832783922553062,1
27,D20180108,2018-01-08,0.9261224269866943,0.3656454384326935,0.34989258646965027,0.5604769885540009,0.5288575142621994,0.5879395678639412,1
28,D20180120,2018-01-20,0.9224547147750854,0.3514079749584198,0.29931169748306274,0.5710467398166656,0.5411037385463715,0.5995269954204558,1
29,D20180201,2018-02-01,0.9138221740722656,0.321695476770401,0.2821825444698334,0.5921266973018646,0.5657803773880005,0.6211381778120995,1
30,D20180213,2018-02-13,0.8923201560974121,0.34766170382499695,0.2835112512111664,0.5446584522724152,0.5146118625998497,0.5723533034324646,1
31,D20180225,2018-02-25,0.7551121115684509,0.34437379240989685,0.22002127766609192,0.4107383191585541,0.3751085504889488,0.44266330301761625,0
